utterance_id,movie_title,language,sex,age,race,covered_face,multiple_faces,aggregated_emotions,transcript,movie_type,duration,split
09du0zkg34_2,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,sadness,But i felt super depressed,interview,00:00:02.16,valid
09du0zkg34_3,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,sadness,"It was the depression, and what i, you know, failed to recognize then is that, depression, mental health that always that comes with like a level of pain",interview,00:00:12.57,valid
09du0zkg34_4,Break the Silence #3 | Erin Kelley-Green,EN,male,adult,black,no,no,neutral,"5 years old going through this you just got diagnosed at 24, you turned 25 and this is still a challenge in your life you know what happened after that did did you meet someone",interview,00:00:08.77,train
09du0zkg34_5,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,happiness,You continue with the relationship because i knew he still wanted to marry me.,interview,00:00:07.00,valid
09du0zkg34_6,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,sadness,He wasn't support of we were,interview,00:00:03.00,train
09du0zkg34_8,Break the Silence #3 | Erin Kelley-Green,EN,female,adult,white,no,no,sadness,First of all i felt i felt so much shame cuz i works with professionals that supported families you know that had gone through domestic violence,interview,00:00:10.01,train
0c625x3u7x_0,Michelle Williams on 'Venom' and Being Part of Her First Comic Book Movie,EN,female,adult,white,no,no,surprise,"Man, they look like they're having fun",interview,00:00:03.71,train
0c625x3u7x_2,Michelle Williams on 'Venom' and Being Part of Her First Comic Book Movie,EN,female,adult,white,no,no,neutral,That you just aren't normally allowed to in like you know realistic human terrain,interview,00:00:06.00,train
0c625x3u7x_4,Michelle Williams on 'Venom' and Being Part of Her First Comic Book Movie,EN,female,adult,white,no,no,neutral,With things that weren't scripted and all of a sudden you're just taking in sort of like non,interview,00:00:05.00,valid
0co61ixz5g_0,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Thanks for coming on my show,interview,00:00:01.25,train
0co61ixz5g_10,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,And i think for me the thing that's been working as yes but not right now,interview,00:00:04.21,train
0co61ixz5g_12,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Or things like life experience which is going to make your art better,interview,00:00:04.00,train
0co61ixz5g_13,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,I i didn't understand that till relatively recently.,interview,00:00:02.54,train
0co61ixz5g_14,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,surprise,That's amazing,interview,00:00:00.91,train
0co61ixz5g_15,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,surprise,You didn't do this too,interview,00:00:01.25,train
0co61ixz5g_17,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,surprise,Out of performers i think we're told that,interview,00:00:01.83,train
0co61ixz5g_18,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,I am i froze my eggs,interview,00:00:01.54,valid
0co61ixz5g_2,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,People always screw up when they talk about how pretty you are,interview,00:00:02.00,test
0co61ixz5g_20,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,It's a business decision,interview,00:00:01.00,train
0co61ixz5g_23,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Learn something about that,interview,00:00:01.00,test
0co61ixz5g_24,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,It is relatively time-consuming,interview,00:00:02.16,valid
0co61ixz5g_27,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,"I don't blame my mother, i have nothing, but compassion",interview,00:00:02.00,train
0co61ixz5g_28,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,And how do you deal with all of these issues now,interview,00:00:02.29,test
0co61ixz5g_30,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Out there like okay go down and pull your baby out and then,interview,00:00:02.04,train
0co61ixz5g_31,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,My readers my readers are you guys reading this,interview,00:00:02.58,train
0co61ixz5g_33,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,What are these programs look like,interview,00:00:01.54,test
0co61ixz5g_34,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,These programs are basically free therapy,interview,00:00:02.12,train
0co61ixz5g_35,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,And that's so cool the one thing we're leaving out is that it's $300 an hour,interview,00:00:05.37,train
0co61ixz5g_36,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,It's like you have no problems,interview,00:00:00.87,train
0co61ixz5g_37,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,And there's also people from all walks of life who are in there keeping you humble,interview,00:00:04.00,test
0co61ixz5g_38,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Marin you're like okay i'm not crazy so these,interview,00:00:02.91,train
0co61ixz5g_4,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,surprise,What haters oh okay,interview,00:00:02.50,test
0co61ixz5g_40,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness|surprise,Oh my god,interview,00:00:01.79,train
0co61ixz5g_41,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Shining those two girls at the end of the hallway,interview,00:00:02.37,train
0co61ixz5g_43,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,I also heard it's like men who don't want to have to deal with women anymore.,interview,00:00:02.91,train
0co61ixz5g_44,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,A podcast studio,interview,00:00:01.04,train
0co61ixz5g_45,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,Selfie is for men,interview,00:00:01.79,train
0co61ixz5g_46,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,That is a dealbreaker,interview,00:00:01.50,valid
0co61ixz5g_5,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness,Hey i was just like this costs me all of this anxiety,interview,00:00:02.37,train
0co61ixz5g_6,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,happiness|surprise,He's my friend,interview,00:00:01.12,train
0co61ixz5g_8,Pretty Big Deal with Ashley Graham - Whitney Cummings Breaks Down Codependency,EN,female,adult,white,no,no,neutral,Feel like i'm giving 30% everything and i would like,interview,00:00:04.00,train
0k54px7w0e_23,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,disgust,Where i live it's been raining and raining and raining and some more rain too ,vlog,00:00:06.60,train
0k54px7w0e_24,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,But after the rain is normally a beautiful rainbow and i saw a rainbow this week do you,vlog,00:00:07.00,train
0k54px7w0e_25,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,I wonder if you've got something like this you can wave around at home or if you haven't for our song you can just wave your arms around like this ,vlog,00:00:07.76,train
0k54px7w0e_26,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,Come with me and then we'll say what colour is going to be today,vlog,00:00:04.00,train
0k54px7w0e_27,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,"God made that beautiful rainbow, i know, i know.",vlog,00:00:09.00,train
0k54px7w0e_28,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,"God made that beautiful rainbow, that's why i loved him so",vlog,00:00:09.00,train
0k54px7w0e_29,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,Today there's gonna be rainbow we're gonna do,vlog,00:00:05.00,train
0k54px7w0e_30,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,I want you to say how many different colors you can see in there and what cups of things you can find,vlog,00:00:05.00,train
0k54px7w0e_33,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,male,adolescent,white,no,no,neutral,Isn't it an amazing feeling to know that no matter what we do god still loves us,vlog,00:00:08.00,train
0k54px7w0e_35,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,male,adolescent,white,no,no,happiness,"What amazing god we have, he loves you boys and girls never forget that",vlog,00:00:05.00,valid
0k54px7w0e_39,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,Wow i bet you enjoyed watching that one with the mud going on the peak like that it was a really good paint mix that zander did for me ,vlog,00:00:07.36,train
0k54px7w0e_40,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,Must forgive ourselves and no matter what mistakes we make god still forgives us and loves us doesn't he and that's the message.,vlog,00:00:06.00,train
0k54px7w0e_41,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,"Families, i can't wait to see what your one looks like so don't forget to send it into us to share.",vlog,00:00:06.00,train
0k54px7w0e_42,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,Are you ready to pray with me to god that has no limits on love,vlog,00:00:04.52,valid
0k54px7w0e_43,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,We thank you for that and we just can't wait to be with you in heaven soon in jesus name we pray amen,vlog,00:00:06.00,train
0k54px7w0e_45,BeginnersKindergarden Sabbath School - Vic Conf Regional 2020,EN,female,adult,white,no,no,happiness,Also remember kids that you are god's masterpiece happy sabbath,vlog,00:00:04.68,train
0kas9bkb6q_0,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,happiness,With my dear friends doctor,documentary,00:00:02.00,train
0kas9bkb6q_1,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,neutral,Before he left iraq he was perfectly healthy.,documentary,00:00:02.62,valid
0kas9bkb6q_2,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,neutral,He was diagnosed with an extremely rare form of cancer cholangiocarcinoma,documentary,00:00:05.29,test
0kas9bkb6q_3,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,happiness,Kate was out of the marine corps,documentary,00:00:02.91,train
0kas9bkb6q_4,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,neutral,Doctor said that it looked like she had been dipped in something which as it turns out is often,documentary,00:00:07.88,test
0kas9bkb6q_5,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,male,adult,white,no,no,neutral,Had a battle with hodgkin's lymphoma late 2019 and early 2020 finished,documentary,00:00:04.33,train
0kas9bkb6q_6,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,neutral,Turned down by the va three times for service-related illness,documentary,00:00:03.21,test
0kas9bkb6q_7,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,neutral,Kate passed away on april 5th of this year 2022,documentary,00:00:04.71,train
0kas9bkb6q_8,Veterans facing toxic exposure and surviving families on President Biden signing the PACT Act.,EN,female,adult,white,no,no,sadness,No longer have to prove their connection for their ilness,documentary,00:00:07.00,test
0l1vueehae_0,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,happiness,It's a great great great pleasure to have all of you,speech,00:00:02.86,train
0l1vueehae_1,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,Includes religious fundamenta-,speech,00:00:02.00,train
0l1vueehae_18,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,Of course they have removed polygamy they have removed child marriage they have made honor killings of crime and this is in a war zone so secularism very much a demand and need of people everywhere,speech,00:00:12.01,train
0l1vueehae_19,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,Muslim women as well say no to polygamy,speech,00:00:02.70,test
0l1vueehae_2,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,Ruled by isis or the iranian regime or the saudi regime with the pakistani government but also places,speech,00:00:07.00,test
0l1vueehae_24,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,anger,To stand up against their hate theirs theophobia their bigotry we want to remind them that we are stronger than they are we are much more than they are we are,speech,00:00:11.01,train
0l1vueehae_25,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,anger,We are at the innumerable and our movement with many of its leaders sitting right here in this room we are going to bring that religious right move,speech,00:00:08.00,test
0l1vueehae_3,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,Where they are hunting atheists down.,speech,00:00:02.30,test
0l1vueehae_4,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,I've just been called into court in algeria,speech,00:00:02.63,train
0l1vueehae_5,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,Family law in morocco where,speech,00:00:02.73,test
0l1vueehae_7,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,That refused to sit next to women and,speech,00:00:03.00,train
0l1vueehae_8,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,You've got the christian right in the us for example,speech,00:00:03.00,train
0l1vueehae_9,"Maryam Namazie, secularism is a human right",EN,female,adult,other,no,no,neutral,We've got the rise of the hindu right there they're actually killing muslims for eating beef,speech,00:00:04.80,train
0ltd7naub7_0,"-MeToo, -NoMore Play Major Role in 2018 International Women's Day",EN,female,adult,white,no,no,neutral,Congress certainly and as the chair of the house ethics committee as you know we are certainly dealing with that income,news,00:00:08.00,train
0ltd7naub7_1,"-MeToo, -NoMore Play Major Role in 2018 International Women's Day",EN,female,adult,black,no,no,neutral,And so women are aware of what other women are facing in their homes outside in terms of for example of sexual harassment,news,00:00:09.16,valid
0ltd7naub7_2,"-MeToo, -NoMore Play Major Role in 2018 International Women's Day",EN,female,adult,black,no,no,neutral,There are some empirical studies that show that when women are involved in peace processes then peace is long-standing sustainable,news,00:00:09.12,train
0r1n6wloui_0,President Barack Obama's first Oval Office address,EN,male,adult,black,no,no,neutral,"Oil has already caused damage to our coastline, and it's wildlife. and sadly, no matter how effective our response is, there will be more oil and more damage before this siege is done.",speech,00:00:13.01,train
0r1n6wloui_1,President Barack Obama's first Oval Office address,EN,male,adult,black,no,no,neutral,Over the last decade this agency has become emblematic of a failed philosophy that views all regulation with hostility,speech,00:00:08.00,train
17s13e5q0t_12,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,neutral,But the other thing was as agile i felt in love with the wilderness of pakistan the mountains of pakistan,debate,00:00:10.00,train
17s13e5q0t_13,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,neutral,So as with age i saw these mountains are these these these this wilderness disappearing,debate,00:00:09.00,train
17s13e5q0t_14,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,neutral,And especially the way we destroyed a forest cover,debate,00:00:07.00,test
17s13e5q0t_15,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,neutral,And that's when we started one of the most ambitious campaigns to plant,debate,00:00:05.00,train
17s13e5q0t_16,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,neutral,One expected it to happen but the involved in local communities,debate,00:00:06.00,train
17s13e5q0t_18,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,neutral,Unfortunately there was no plan before and our cities got very polluted specifically lahore which had,debate,00:00:07.00,train
17s13e5q0t_19,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,other,no,no,surprise,Rose high because for some reason our planners removed 70% of the three cover of lahore the last 10 years,debate,00:00:09.00,train
17s13e5q0t_2,"DAVOS 2020 - Special address by Imran Khan, Prime Minister of Pakistan",EN,male,adult,white,no,no,neutral,The pleasure and privilege of visiting isla,debate,00:00:03.00,test
